"symbol","company_name","previous_close","option_chain"
"AERI","Aerie Pharmaceuticals, Inc. - Common Stock",17.1200008392334,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AEZS","Aeterna Zentaris Inc. - Common Stock",0.949999988079071,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AGEN","Agenus Inc. - Common Stock",2.819999933242798,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AGNC","AGNC Investment Corp. - Common Stock",18.209999084472656,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AGRX","Agile Therapeutics, Inc. - Common Stock",1.5199999809265137,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AINV","Apollo Investment Corporation - Closed End Fund",14.720000267028809,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"AKTS","Akoustis Technologies, Inc. - Common Stock",9.210000038146973,"{""contractSymbol"":{},""lastTradeDate"":{},""strike"":{},""lastPrice"":{},""bid"":{},""ask"":{},""change"":{},""percentChange"":{},""volume"":{},""openInterest"":{},""impliedVolatility"":{},""inTheMoney"":{},""contractSize"":{},""currency"":{},""symbol"":{}}"
"ALDX","Aldeyra Therapeutics, Inc. - Common Stock",12.050000190734863,"{""contractSymbol"":{""0"":""ALDX210618P00010000""},""lastTradeDate"":{""0"":1620330570000},""strike"":{""0"":10.0},""lastPrice"":{""0"":0.45},""bid"":{""0"":0.2},""ask"":{""0"":0.4},""change"":{""0"":0.0},""percentChange"":{""0"":0.0},""volume"":{""0"":1531.0},""openInterest"":{""0"":1916},""impliedVolatility"":{""0"":0.7597680273},""inTheMoney"":{""0"":false},""contractSize"":{""0"":""REGULAR""},""currency"":{""0"":""USD""},""symbol"":{""0"":""ALDX""}}"
"ALLT","Allot Ltd. - Ordinary Shares",17.920000076293945,"{""contractSymbol"":{""0"":""ALLT210917P00015000""},""lastTradeDate"":{""0"":1619199864000},""strike"":{""0"":15.0},""lastPrice"":{""0"":1.05},""bid"":{""0"":0.8},""ask"":{""0"":1.05},""change"":{""0"":0.0},""percentChange"":{""0"":0.0},""volume"":{""0"":551.0},""openInterest"":{""0"":4403.0},""impliedVolatility"":{""0"":0.5400436621},""inTheMoney"":{""0"":0.0},""contractSize"":{""0"":""REGULAR""},""currency"":{""0"":""USD""},""symbol"":{""0"":""ALLT""}}"
"ALT","Altimmune, Inc. - Common Stock",12.93000030517578,"{""contractSymbol"":{""0"":""ALT210618P00022000""},""lastTradeDate"":{""0"":1613754179000},""strike"":{""0"":22.0},""lastPrice"":{""0"":5.8},""bid"":{""0"":8.3},""ask"":{""0"":9.1},""change"":{""0"":0.0},""percentChange"":{""0"":0.0},""volume"":{""0"":324.0},""openInterest"":{""0"":336},""impliedVolatility"":{""0"":1.2304725977},""inTheMoney"":{""0"":true},""contractSize"":{""0"":""REGULAR""},""currency"":{""0"":""USD""},""symbol"":{""0"":""ALT""}}"
