Entry,Quant Rating,Symbol,StockPrice,Annualized,Strike,Exp,Income,Chance,Bid,Ask,OpenInterest,Volume,Collateral,DaysHeld,PercentProfit
2021-05-09,?,VXRT,7.2,286.79,7.0,2021-05-21,60.5,?,0.56,0.65,1694,586,700.0,11,8.64
2021-05-09,?,VXRT,7.2,549.57,8.0,2021-05-21,132.5,?,1.22,1.43,659,505,800.0,11,16.56
2021-05-09,?,VXRT,7.2,145.64,7.5,2021-07-16,200.5,?,2.0,2.01,2485,464,750.0,67,26.73
2021-05-09,?,VXRT,7.2,215.19,10.0,2021-07-16,395.0,?,3.75,4.15,481,311,1000.0,67,39.5
2021-05-09,?,VXRT,7.2,60.07,7.5,2022-01-21,316.0,?,2.92,3.4,1240,781,750.0,256,42.13
2021-05-09,?,VXRT,7.2,77.71,10.0,2022-01-21,544.9999999999999,?,5.05,5.85,829,806,1000.0,256,54.5
2021-05-09,?,VXRT,7.2,94.81,15.0,2022-01-21,997.5,?,9.35,10.6,357,274,1500.0,256,66.5
2021-05-09,?,WETF,7.06,48.26,8,2021-09-17,137.5,?,1.3,1.45,250,255,800,130,17.19
2021-05-09,?,WKHS,9.64,476.53,9.0,2021-05-14,47.0,?,0.45,0.49,5255,1594,900.0,4,5.22
2021-05-09,?,WKHS,9.64,662.76,9.5,2021-05-14,69.0,?,0.65,0.73,323,8900,950.0,4,7.26
2021-05-09,?,WKHS,9.64,825.81,10.0,2021-05-14,90.5,?,0.81,1.0,755,506,1000.0,4,9.05
2021-05-09,?,WKHS,9.64,384.91,10.0,2021-05-21,116.00000000000001,?,1.12,1.2,2858,278,1000.0,11,11.6
2021-05-09,?,WKHS,9.64,550.52,11.0,2021-05-21,182.50000000000003,?,1.72,1.9300000000000002,5368,264,1100.0,11,16.59
2021-05-09,?,WKHS,9.64,278.52,20.0,2021-07-16,1022.5,?,9.75,10.7,18595,598,2000.0,67,51.12
2021-05-09,?,WKHS,9.64,75.7,15.0,2021-12-17,687.5,?,6.65,7.1,738,300,1500.0,221,45.83
2021-05-09,?,WKHS,9.64,80.91,20.0,2022-01-21,1135.0000000000002,?,11.15,11.55,1677,2907,2000.0,256,56.75
2021-05-09,?,XERS,3.25,14.26,1,2022-01-21,10.0,?,0,0.2,480,402,100,256,10.0
2021-05-09,?,ZGNX,18.87,27.33,15,2022-01-21,287.5,?,0.75,5,1042,1002,1500,256,19.17
