"symbol","company_name","previous_close"
"CD","Chindata Group Holdings Limited - American Depositary Shares",13.970000267028809
"CDTX","Cidara Therapeutics, Inc. - Common Stock",2.0199999809265137
"CDXC","ChromaDex Corporation - Common Stock",8.579999923706055
"CDXS","Codexis, Inc. - Common Stock",19.81999969482422
"CDZI","Cadiz, Inc. - Common Stock",11.829999923706056
"CECE","CECO Environmental Corp. - Common Stock",7.150000095367432
"CEMI","Chembio Diagnostics, Inc. - Common Stock",3.5
"CENX","Century Aluminum Company - Common Stock",15.239999771118164
"CERS","Cerus Corporation - Common Stock",5.960000038146973
"CFFN","Capitol Federal Financial, Inc. - Common Stock",13.15999984741211
"CGBD","TCG BDC, Inc. - Common Stock",13.470000267028809
"CGEN","Compugen Ltd. - Ordinary Shares",7.440000057220459
"CHRS","Coherus BioSciences, Inc. - Common Stock",14.5
"CLAR","Clarus Corporation - Common Stock",19.059999465942383
"CLIR","ClearSign Technologies Corporation - Common Stock",4.21999979019165
"CLLS","Cellectis S.A. - American Depositary Shares",15.529999732971191
"CLMT","Calumet Specialty Products Partners, L.P. - Common units representing limited partner interests",6.369999885559082
"CLNE","Clean Energy Fuels Corp. - Common Stock",9.789999961853027
"CLSK","CleanSpark, Inc. - Common Stock",18.229999542236328
"CLVS","Clovis Oncology, Inc. - Common Stock",5.670000076293945
"CMRX","Chimerix, Inc. - Common Stock",8.489999771118164
"CNCE","Concert Pharmaceuticals, Inc. - Common Stock",4.010000228881836
"CNDT","Conduent Incorporated - Common Stock",7.309999942779541
"CNET","ZW Data Action Technologies Inc. - Common Stock",1.7100000381469729
"CNTY","Century Casinos, Inc. - Common Stock",12.25
"CODX","Co-Diagnostics, Inc. - Common Stock",8.119999885559082
"COMM","CommScope Holding Company, Inc. - Common Stock",17.209999084472656
"CPLP","Capital Product Partners L.P. - common units representing limited partner interests",12.720000267028809
"CPRX","Catalyst Pharmaceuticals, Inc. - Common Stock",4.670000076293945
"CRBP","Corbus Pharmaceuticals Holdings, Inc. - Common Stock",1.5399999618530271
"CRDF","Cardiff Oncology, Inc. - Common Stock",9.010000228881836
"CRESY","Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock",6.050000190734863
"CRIS","Curis, Inc. - Common Stock",9.989999771118164
"CRMD","CorMedix Inc. - Common Stock",8.029999732971191
"CRNT","Ceragon Networks Ltd. - Ordinary Shares",3.2699999809265137
"CRON","Cronos Group Inc. - Common Share",7.619999885559082
"CTG","Computer Task Group, Incorporated - Common Stock",10.239999771118164
"CTIC","CTI BioPharma Corp. - Common Stock",2.220000028610229
"CTLP","Cantaloupe, Inc. - Common Stock",9.920000076293944
"CTMX","CytomX Therapeutics, Inc. - Common Stock",8.149999618530273
"CTSO","Cytosorbents Corporation - Common Stock",8.229999542236328
"CUE","Cue Biopharma, Inc. - Common Stock",10.899999618530272
"CURI","CuriosityStream Inc.  - Class A Common Stock",12.350000381469728
"CVCY","Central Valley Community Bancorp - Common Stock",19.0
"CVGI","Commercial Vehicle Group, Inc. - Common Stock",12.5600004196167
"CWCO","Consolidated Water Co. Ltd. - Ordinary Shares",11.899999618530272
"CYCN","Cyclerion Therapeutics, Inc. - Common Stock ",2.490000009536743
"DBVT","DBV Technologies S.A. - American Depositary Shares",6.010000228881836
"DENN","Denny's Corporation - Common Stock",17.600000381469727
"DGICA","Donegal Group, Inc. - Class A Common Stock",15.279999732971191
"DGII","Digi International Inc. - Common Stock",17.510000228881836
"DGLY","Digital Ally, Inc. - Common Stock",1.7000000476837158
"DHC","Diversified Healthcare Trust  - Common Shares of Beneficial Interest",3.940000057220459
"DLTH","Duluth Holdings Inc. - Class B Common Stock",16.75
"DMLP","Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests",15.119999885559082
"DOYU","DouYu International Holdings Limited - American Depositary Shares",8.460000038146973
"DSKE","Daseke, Inc. - Common Stock",7.760000228881836
"DTEA","DAVIDsTEA Inc. - Common Stock",3.660000085830689
"DTIL","Precision BioSciences, Inc. - Common Stock",8.420000076293945
"DVAX","Dynavax Technologies Corporation - Common Stock",8.880000114440918
"DYAI","Dyadic International, Inc. - Common Stock",4.150000095367432
"EDAP","EDAP TMS S.A. - American Depositary Shares, each representing One Ordinary Share",6.699999809265137
"EGAN","eGain Corporation - Common Stock",9.15999984741211
"EMKR","EMCORE Corporation - Common Stock",6.25
"ENDP","Endo International plc - Ordinary Shares",5.429999828338623
"ENG","ENGlobal Corporation - Common Stock",2.400000095367432
"ENLV","Enlivex Therapeutics Ltd. - Ordinary Shares",9.90999984741211
"EOLS","Evolus, Inc. - Common Stock",8.670000076293945
"EPZM","Epizyme, Inc. - Common Stock",6.809999942779541
"ERIC","Ericsson - American Depositary Shares each representing 1 underlying Class B share",13.6899995803833
"EVFM","Evofem Biosciences, Inc. - Common Stock",1.2200000286102295
"EXPC","Experience Investment Corp. - Class A Common Stock",9.010000228881836
"EXTR","Extreme Networks, Inc. - Common Stock",11.09000015258789
"EYEN","Eyenovia, Inc. - Common Stock",4.760000228881836
"EYES","Second Sight Medical Products, Inc. - Common Stock",5.829999923706055
"EYPT","EyePoint Pharmaceuticals, Inc. - Common Stock",9.56999969482422
"EZPW","EZCORP, Inc. - Class A Non-Voting Common Stock",6.650000095367432
"FANH","Fanhua Inc. - American depositary shares, each representing 20 ordinary shares",13.529999732971191
"FARM","Farmer Brothers Company - Common Stock",10.399999618530272
"FCEL","FuelCell Energy, Inc. - Common Stock",7.929999828338623
"FCRD","First Eagle Alternative Capital BDC, Inc. - Common Stock",4.360000133514404
"FDUS","Fidus Investment Corporation - Common Stock",17.420000076293945
"FENC","Fennec Pharmaceuticals Inc. - Common Stock",6.110000133514404
"FEYE","FireEye, Inc. - Common Stock",19.07999992370605
"FFNW","First Financial Northwest, Inc. - Common Stock",13.720000267028809
"FLDM","Fluidigm Corporation - Common Stock",4.590000152587891
"FLEX","Flex Ltd. - Ordinary Shares",18.229999542236328
"FLNT","Fluent, Inc. - Common Stock",3.3299999237060547
"FLXN","Flexion Therapeutics, Inc. - Common Stock",7.389999866485596
"FNHC","FedNat Holding Company - Common Stock",4.059999942779541
"FOLD","Amicus Therapeutics, Inc. - Common Stock",9.600000381469728
"FOSL","Fossil Group, Inc. - Common Stock",12.0600004196167
"FRBK","Republic First Bancorp, Inc. - Common Stock",4.130000114440918
"FRGI","Fiesta Restaurant Group, Inc. - Common Stock",13.529999732971191
"FSTR","L.B. Foster Company - Common Stock",16.559999465942383
"FTEK","Fuel Tech, Inc. - Common Stock",2.0
"FULT","Fulton Financial Corporation - Common Stock",17.579999923706055
"GAIA","Gaia, Inc. - Class A Common Stock",11.079999923706056
"GAN","GAN Limited - Ordinary Shares",17.06999969482422
"GASS","StealthGas, Inc. - common stock",3.0
"GBDC","Golub Capital BDC, Inc. - Common Stock",15.539999961853027
"GENE","Genetic Technologies Ltd - American Depositary Shares representing 600 ordinary shares",3.759999990463257
"GERN","Geron Corporation - Common Stock",1.340000033378601
"GGAL","Grupo Financiero Galicia S.A. - American Depositary Shares, Class B Shares underlying",7.460000038146973
"GILT","Gilat Satellite Networks Ltd. - Ordinary Shares",9.529999732971191
"GLAD","Gladstone Capital Corporation - Common Stock",10.979999542236328
"GLDD","Great Lakes Dredge & Dock Corporation - Common Stock",14.140000343322754
"GLNG","Golar LNG Limited - Common Shares",11.210000038146973
"GLRE","Greenlight Reinsurance, Ltd. - Class A Ordinary Shares",9.010000228881836
"GLYC","GlycoMimetics, Inc. - Common Stock",2.299999952316284
"GMTX","Gemini Therapeutics, Inc. - Common Stock",12.0
"GNCA","Genocea Biosciences, Inc. - Common Stock",2.319999933242798
"GNLN","Greenlane Holdings, Inc. - Class A Common Stock",4.03000020980835
"GNOG","Golden Nugget Online Gaming, Inc. - Class A Common Stock",12.880000114440918
"GNPX","Genprex, Inc. - Common Stock",3.4200000762939453
"GNRS","Greenrose Acquisition Corp. - Common Stock",9.989999771118164
"GNSS","Genasys Inc. - Common Stock",5.949999809265137
"GNUS","Genius Brands International, Inc. - Common Stock",1.600000023841858
"GOCO","GoHealth, Inc. - Class A Common Stock",11.739999771118164
"GOEV","Canoo Inc.  - Class A Common Stock",7.385000228881836
"GOGL","Golden Ocean Group Limited - Common Stock",8.84000015258789
"GOGO","Gogo Inc. - Common Stock",10.68000030517578
"GOSS","Gossamer Bio, Inc. - Common Stock",8.350000381469727
"GPRO","GoPro, Inc. - Class A Common Stock",10.4399995803833
"GRFS","Grifols, S.A. - American Depositary Shares",17.969999313354492
"GROW","U.S. Global Investors, Inc. - Class A Common Stock",7.179999828338623
"GSKY","GreenSky, Inc. - Common Stock",6.510000228881836
"GSM","Ferroglobe PLC - Ordinary Shares",4.369999885559082
"GT","The Goodyear Tire & Rubber Company - Common Stock",19.540000915527344
"GTX","Garrett Motion Inc. - Common Stock",5.679999828338623
"HBAN","Huntington Bancshares Incorporated - Common Stock",15.800000190734863
"HBIO","Harvard Bioscience, Inc. - Common Stock",7.340000152587891
"HBP","Huttig Building Products, Inc. - Common Stock",5.420000076293945
"HCKT","The Hackett Group, Inc. - Common Stock",16.790000915527344
"HDSN","Hudson Technologies, Inc. - Common Stock",2.1600000858306885
"HEPA","Hepion Pharmaceuticals, Inc. - Common Stock",1.600000023841858
"HGEN","Humanigen, Inc. - Common Stock",19.36000061035156
"HIMX","Himax Technologies, Inc. - American depositary shares, each of which represents two ordinary shares.",12.859999656677246
"HMHC","Houghton Mifflin Harcourt Company - Common Stock",9.800000190734863
"HOPE","Hope Bancorp, Inc. - Common Stock",15.489999771118164
"HRTX","Heron Therapeutics, Inc.   - Common Stock",16.6299991607666
"HST","Host Hotels  - Common Stock",17.579999923706055
"HTBK","Heritage Commerce Corp - Common Stock",12.380000114440918
"HTGM","HTG Molecular Diagnostics, Inc. - Common Stock",4.059999942779541
"HTLD","Heartland Express, Inc. - Common Stock",19.18000030517578
"ICAD","icad inc. - Common Stock",17.31999969482422
"ICLK","iClick Interactive Asia Group Limited - American Depositary Shares",12.140000343322754
"ICON","Iconix Brand Group, Inc. - Common Stock",1.919999957084656
"ICPT","Intercept Pharmaceuticals, Inc. - Common Stock",17.149999618530273
"IDEX","Ideanomics, Inc. - Common Stock",2.640000104904175
"IDN","Intellicheck, Inc. - Common Stock",8.100000381469727
"IDRA","Idera Pharmaceuticals, Inc. - Common Stock",1.0800000429153442
"IMMR","Immersion Corporation - Common Stock",7.900000095367432
"IMUX","Immunic, Inc.  - Common Stock",12.970000267028809
"IMV","IMV Inc. - Common Shares",2.6600000858306885
"IMVT","Immunovant, Inc.  - Common Stock",16.760000228881836
"INFI","Infinity Pharmaceuticals, Inc. - Common Stock",3.150000095367432
"INFN","Infinera Corporation - Common Stock",8.800000190734863
"INO","Inovio Pharmaceuticals, Inc. - Common Stock",6.849999904632568
"INOD","Innodata Inc. - Common Stock",6.710000038146973
"INSG","Inseego Corp. - Common Stock",8.319999694824219
"INVA","Innoviva, Inc. - Common Stock",11.729999542236328
"IQ","iQIYI, Inc. - American Depositary Shares",13.739999771118164
"IRWD","Ironwood Pharmaceuticals, Inc. - Class A Common Stock",10.979999542236328
"ISBC","Investors Bancorp, Inc. - Common Stock",14.699999809265137
"ISEE","IVERIC bio, Inc. - Common Stock",6.869999885559082
"ITI","Iteris, Inc. - Common Stock",6.670000076293945
"JBLU","JetBlue Airways Corporation - Common Stock",19.559999465942383
"JNCE","Jounce Therapeutics, Inc. - Common Stock",8.149999618530273
"KBAL","Kimball International, Inc. - Class B Common Stock",12.770000457763672
"KERN","Akerna Corp. - Common Stock",3.7100000381469727
"KMDA","Kamada Ltd. - Ordinary Shares",6.119999885559082
"KNDI","Kandi Technologies Group, Inc. - Common Stock",5.260000228881836
"KPTI","Karyopharm Therapeutics Inc. - Common Stock",8.395000457763672
"KRMD","Repro Med Systems, Inc. - Common Stock",3.5799999237060547
"KRNY","Kearny Financial - Common Stock",13.050000190734863
"KTCC","Key Tronic Corporation - Common Stock",7.050000190734863
"LAUR","Laureate Education, Inc. - Class A Common Stock",13.970000267028809
"LCNB","LCNB Corporation - Common Stock",17.549999237060547
